EMD_CD,EMD_NM,SGG_OID,COL_ADM_SE,GID
50130320,표선면,1882,50130,4990
50130310,안덕면,1881,50130,4991
50130259,성산읍,1880,50130,4992
50130253,남원읍,4002,50130,4993
50130250,대정읍,1878,50130,4994
50130122,영남동,1877,50130,4995
50130121,하예동,1876,50130,4996
50130120,상예동,1875,50130,4997
50130119,색달동,1874,50130,4998
50130118,하원동,1873,50130,4999
50130117,도순동,1872,50130,5000
50130116,강정동,1871,50130,5001
50130115,월평동,1870,50130,5002
50130114,대포동,1869,50130,5003
50130113,회수동,1868,50130,5004
50130112,중문동,1867,50130,5005
50130111,토평동,1866,50130,5006
50130110,보목동,1865,50130,5007
50130109,신효동,1864,50130,5008
50130108,하효동,1863,50130,5009
50130107,상효동,1862,50130,5010
50130106,서홍동,1861,50130,5011
50130105,동홍동,1860,50130,5012
50130104,호근동,1859,50130,5013
50130103,서호동,1858,50130,5014
50130102,법환동,1857,50130,5015
50130101,서귀동,1856,50130,5016
50110330,우도면,1855,50110,5017
50110320,추자면,1854,50110,5018
50110310,한경면,1853,50110,5019
50110259,조천읍,1852,50110,5020
50110256,구좌읍,1851,50110,5021
50110253,애월읍,1850,50110,5022
50110250,한림읍,1849,50110,5023
50110140,내도동,1848,50110,5024
50110139,해안동,1847,50110,5025
50110138,도평동,1846,50110,5026
50110137,연동,1845,50110,5027
50110136,영평동,1844,50110,5028
50110135,월평동,1843,50110,5029
50110134,오등동,1842,50110,5030
50110133,회천동,1841,50110,5031
50110132,용강동,1840,50110,5032
50110131,도련이동,1839,50110,5033
50110130,도련일동,1838,50110,5034
50110129,도남동,1837,50110,5035
50110128,도두이동,1836,50110,5036
50110127,도두일동,1835,50110,5037
50110126,이호이동,1834,50110,5038
50110125,이호일동,1833,50110,5039
50110124,외도이동,1832,50110,5040
50110123,외도일동,1831,50110,5041
50110122,노형동,1830,50110,5042
50110121,오라삼동,1829,50110,5043
50110120,오라이동,1828,50110,5044
50110119,오라일동,1827,50110,5045
50110118,아라이동,1826,50110,5046
50110117,아라일동,1825,50110,5047
50110116,봉개동,1824,50110,5048
50110115,삼양삼동,1823,50110,5049
50110114,삼양이동,1822,50110,5050
50110113,삼양일동,1821,50110,5051
50110112,화북이동,1820,50110,5052
50110111,화북일동,1819,50110,5053
50110110,용담삼동,1818,50110,5054
50110109,용담이동,1817,50110,5055
50110108,용담일동,1816,50110,5056
50110107,건입동,1815,50110,5057
50110106,삼도이동,1814,50110,5058
50110105,삼도일동,1813,50110,5059
50110104,이도이동,1812,50110,5060
50110103,이도일동,1811,50110,5061
50110102,일도이동,1810,50110,5062
50110101,일도일동,1809,50110,5063